exchange,symbol,open,close,high,low,amount,volume,position,bob,eob,type,sequence
SHFE,ad2511,20300.0,20300.0,20300.0,20300.0,406000.0,2.0,7087.0,2025-09-20 00:25:00+08:00,2025-09-20 00:26:00+08:00,14,1
SHFE,ad2511,20300.0,20300.0,20300.0,20300.0,1218000.0,6.0,7086.0,2025-09-20 00:37:00+08:00,2025-09-20 00:38:00+08:00,14,1
SHFE,ad2511,20300.0,20300.0,20300.0,20300.0,812000.0,4.0,7082.0,2025-09-20 00:39:00+08:00,2025-09-20 00:40:00+08:00,14,1
SHFE,ad2511,20305.0,20295.0,20305.0,20295.0,812050.0,4.0,7082.0,2025-09-20 00:40:00+08:00,2025-09-20 00:41:00+08:00,14,1
SHFE,ad2511,20300.0,20300.0,20300.0,20300.0,203000.0,1.0,7082.0,2025-09-20 00:55:00+08:00,2025-09-20 00:56:00+08:00,14,1
SHFE,ad2511,20290.0,20290.0,20290.0,20290.0,405800.0,2.0,7082.0,2025-09-20 00:58:00+08:00,2025-09-20 00:59:00+08:00,14,1
